species	clade	n_monomers	edit_threshold	labile_obs	labile_null	pct_labile	enrichment
iystephae	Invertebrate	500	5	82	62	16.4	1.32
iyanonige	Invertebrate	500	5	372	286	74.4	1.3
iytipfemo	Invertebrate	500	5	170	134	34.0	1.27
drroscani	Invertebrate	500	5	128	103	25.6	1.24
idantanth	Invertebrate	478	5	189	154	39.54	1.23
iuloevari	Invertebrate	500	5	223	191	44.6	1.17
ipnemdubi	Invertebrate	438	5	415	362	94.75	1.15
iclepmacu	Invertebrate	495	5	220	193	44.44	1.14
eamarglac	Invertebrate	500	5	429	379	85.8	1.13
mcerela	Vertebrates	500	5	500	447	100.0	1.12
idbomdisc	Invertebrate	500	5	81	73	16.2	1.11
dhcorcolu	Viridiplantae	500	5	309	286	61.8	1.08
ieprobifi	Invertebrate	500	5	224	208	44.8	1.08
melemax	Vertebrates	500	5	500	470	100.0	1.06
ddbarvulg	Viridiplantae	500	5	312	294	62.4	1.06
iyvesvulg	Invertebrate	71	5	51	49	71.83	1.04
ieclodipt	Invertebrate	500	5	50	48	10.0	1.04
laaliplan	Viridiplantae	423	5	282	274	66.67	1.03
drtrifrag	Viridiplantae	500	5	185	180	37.0	1.03
mcanlor	Vertebrates	500	5	457	447	91.4	1.02
dmaquvulg	Viridiplantae	500	5	278	278	55.6	1.0
ioisceleg	Invertebrate	500	5	196	198	39.2	0.99
jaricflor	Invertebrate	500	5	329	344	65.8	0.96
iyabicand	Invertebrate	500	5	125	130	25.0	0.96
ipisogram	Invertebrate	500	5	101	106	20.2	0.95
wpalivire	Invertebrate	500	5	133	143	26.6	0.93
blagmut	Vertebrates	33	5	26	28	78.79	0.93
iybomhypn	Invertebrate	479	5	12	13	2.51	0.92
bcorhaw	Vertebrates	500	5	436	482	87.2	0.9
bgalgal	Vertebrates	494	5	43	48	8.7	0.9
lpdigsang	Viridiplantae	500	5	158	178	31.6	0.89
ddmerannu	Viridiplantae	500	5	87	98	17.4	0.89
dabalnigr	Viridiplantae	500	5	25	28	5.0	0.89
mrhisin	Vertebrates	457	5	378	432	82.71	0.88
iyectcont	Invertebrate	500	5	143	164	28.6	0.87
drhedheli	Viridiplantae	500	5	109	126	21.8	0.87
icquelate	Invertebrate	499	5	159	194	31.86	0.82
iyathrosa	Invertebrate	500	5	32	44	6.4	0.73
iymaceuro	Invertebrate	500	5	96	133	19.2	0.72
dascugale	Viridiplantae	500	5	53	75	10.6	0.71
iglabmino	Invertebrate	500	5	30	46	6.0	0.65
dalyceuro	Viridiplantae	500	5	201	314	40.2	0.64
iypripert	Invertebrate	500	5	104	169	20.8	0.62
iccocsept	Invertebrate	500	5	79	130	15.8	0.61
latrimari	Viridiplantae	360	5	119	202	33.06	0.59
icapocory	Invertebrate	500	5	33	56	6.6	0.59
iylasvill	Invertebrate	500	5	119	205	23.8	0.58
tzmemmemb	Invertebrate	500	5	161	281	32.2	0.57
bfalbia	Vertebrates	500	5	120	211	24.0	0.57
ichalsede	Invertebrate	500	5	58	106	11.6	0.55
iilimmarm	Invertebrate	500	5	82	151	16.4	0.54
ibectpall	Invertebrate	500	5	101	190	20.2	0.53
dcmoetrin	Viridiplantae	500	5	40	75	8.0	0.53
lpleeoryz	Viridiplantae	500	5	54	107	10.8	0.5
idphymeln	Invertebrate	500	5	56	117	11.2	0.48
bfalper	Vertebrates	500	5	90	190	18.0	0.47
falosap	Vertebrates	500	5	45	98	9.0	0.46
iilimrhom	Invertebrate	500	5	71	157	14.2	0.45
dcspemari	Viridiplantae	500	5	49	109	9.8	0.45
qeallfusc	Invertebrate	500	5	55	124	11.0	0.44
fthumac	Vertebrates	259	5	27	63	10.42	0.43
lpcardepa	Viridiplantae	500	5	32	76	6.4	0.42
fbarbab	Vertebrates	500	5	78	189	15.6	0.41
icagrcyan	Invertebrate	500	5	55	133	11.0	0.41
bfalche	Vertebrates	500	5	69	181	13.8	0.38
ddhotpalu	Viridiplantae	500	5	68	180	13.6	0.38
tnlinlong	Invertebrate	500	5	59	166	11.8	0.36
drgeuriva	Viridiplantae	500	5	48	135	9.6	0.36
ilpienapi	Invertebrate	500	5	43	122	8.6	0.35
datanvulg	Viridiplantae	500	5	37	109	7.4	0.34
iilimluna	Invertebrate	500	5	63	192	12.6	0.33
lpphlprat	Viridiplantae	500	5	24	73	4.8	0.33
qeorcflav	Invertebrate	500	5	55	172	11.0	0.32
idclutigr	Invertebrate	500	5	48	158	9.6	0.3
fthualb	Vertebrates	500	5	44	148	8.8	0.3
iccetaura	Invertebrate	500	5	44	163	8.8	0.27
iilimauri	Invertebrate	500	5	36	132	7.2	0.27
jadialine	Invertebrate	500	5	23	86	4.6	0.27
idathibis	Invertebrate	500	5	72	279	14.4	0.26
bporhoc	Vertebrates	500	5	54	214	10.8	0.25
dcareserp	Viridiplantae	500	5	35	140	7.0	0.25
qelepcurv	Invertebrate	277	5	53	234	19.13	0.23
ddarathal	Viridiplantae	500	5	36	166	7.2	0.22
iypemlugu	Invertebrate	494	5	88	416	17.81	0.21
tzbugstol	Invertebrate	500	5	33	155	6.6	0.21
lpluzpall	Viridiplantae	500	5	18	90	3.6	0.2
iupsogibb	Invertebrate	500	5	19	98	3.8	0.19
icscaquad	Invertebrate	500	5	6	33	1.2	0.18
iyophlute	Invertebrate	500	5	29	180	5.8	0.16
iyseltumu	Invertebrate	500	5	12	76	2.4	0.16
lpscisylv	Viridiplantae	488	5	2	14	0.41	0.14
fdanrer	Vertebrates	500	5	19	147	3.8	0.13
icadabipu	Invertebrate	500	5	15	120	3.0	0.12
iccanrust	Invertebrate	500	5	11	89	2.2	0.12
dashearve	Viridiplantae	495	5	2	17	0.4	0.12
fphogun	Vertebrates	291	5	8	73	2.75	0.11
iycoeconi	Invertebrate	500	5	34	401	6.8	0.08
ftaubub	Vertebrates	500	5	11	149	2.2	0.07
lperiangu	Viridiplantae	488	5	1	23	0.2	0.04
idbibmarc	Invertebrate	500	5	1	38	0.2	0.03
icrhafulv	Invertebrate	500	5	0	33	0.0	0.0
idbelpand	Invertebrate	500	5	0	6	0.0	0.0
mlemcat	Vertebrates	499	5	0	54	0.0	0.0
xblimfort	Invertebrate	483	5	0	11	0.0	0.0
