species	clade	taxa1	n_monomers	pct_box_le2mm	pct_box_le3mm	pct_null_le3mm	enrichment_le3mm	box_le2mm_count	ev_canonical	ev_broad	ev_degenerate	ev_pwm_fimo	lines_positive
iuloevari	Invertebrate	Psocodea	32540	0	0.04	0.46	0.09	0	0	3	4	0	0
lpschltriq	Invertebrate		1097311	0	0.04	0.08	0.54	6	0	0	51	0	1
iyectcont	Invertebrate	Hymenoptera	194265	0	0.04	0.34	0.12	0	0	0	0	0	0
iypemlugu	Invertebrate	Hymenoptera	51086	0	0.04	1.72	0.02	0	0	1	1	0	0
iesipalte	Invertebrate	Ephemeroptera	34097	0	0.03	0.35	0.09	0	0	0	0	0	0
drpotanse	Viridiplantae	Dicots	24677	0	0.03	0.13	0.22	0	0	0	0	0	0
mdicbic	Vertebrates	Mammalia	335103	0	0.03	0.47	0.06	0	0	0	0	0	0
ddeuppepu	Viridiplantae	Dicots	131031	0	0.03	0.33	0.08	0	0	4	38	0	1
dcareserp	Viridiplantae	Dicots	146273	0	0.02	0.22	0.11	0	0	0	0	0	0
tzmemmemb	Invertebrate	Bryozoa	27483	0	0.02	0.72	0.03	0	0	3	4	0	0
xggibmagu	Invertebrate	Mollusca	69876	0	0.02	0.35	0.06	0	0	0	0	0	0
lpcardepa	Viridiplantae	Monocots	204120	0	0.02	0.11	0.19	0	0	0	0	0	0
iymacalbo	Invertebrate	Hymenoptera	23805	0	0.02	0.16	0.13	0	0	0	1	0	0
ddbarvulg	Viridiplantae	Dicots	39724	0	0.02	0.64	0.03	0	0	0	0	0	0
lpdigsang	Viridiplantae	Monocots	104747	0	0.02	0.34	0.06	0	0	4	4	1	0
lpelequin	Viridiplantae	Monocots	483017	0	0.02	0.09	0.21	0	0	0	0	0	0
iynomfabr	Invertebrate	Hymenoptera	38153	0	0.02	0.26	0.07	0	0	0	0	0	0
lpcypfusc	Viridiplantae	Monocots	6242	0	0.02	0.35	0.05	0	0	0	0	0	0
wpalivire	Invertebrate	Annelida	69707	0	0.02	0.33	0.05	0	0	0	1	0	0
idgymrotn	Invertebrate	Diptera	26452	0	0.02	0.21	0.07	0	0	0	0	0	0
iyathrosa	Invertebrate	Hymenoptera	61783	0	0.01	0.08	0.18	0	0	0	0	0	0
jaricflor	Invertebrate	Cnidaria	27880	0	0.01	0.8	0.02	0	0	0	0	0	0
ddmerannu	Viridiplantae	Dicots	154513	0	0.01	0.16	0.09	0	0	0	0	0	0
idathibis	Invertebrate	Diptera	112605	0	0.01	0.19	0.07	0	0	1	17	0	1
idhydcyrt	Invertebrate	Diptera	137191	0	0.01	0.16	0.08	0	0	0	0	0	0
dhcorcolu	Viridiplantae	Dicots	95770	0	0.01	0.84	0.01	0	0	2	5	0	0
iyophlute	Invertebrate	Hymenoptera	21215	0	0.01	0.45	0.02	0	0	0	0	0	0
lpluzsylv	Viridiplantae	Monocots	616319	0	0.01	0.07	0.12	2	0	0	0	0	0
idpolamen	Invertebrate	Diptera	10828	0	0.01	0.12	0.08	0	0	0	0	0	0
