tt_node_age	broad	our_age	n_pairs
79.03	Viridiplantae	71.5938915875	1
80.11	Fungi	100.199423955	2
80.47	Viridiplantae	25.51947833	1
81.45	Invertebrates	105.8644365	1
83.6	Fungi	105.33093551	9
84.76	Fungi	123.279490985	2
85.37	Viridiplantae	75.9831470306806	36
85.55	Fungi	38.55368444	2
86.34	Invertebrates	27.5482073905	1
87.04	Viridiplantae	65.510610725	2
87.07	Viridiplantae	36.75887495	2
87.63	Viridiplantae	92.2421062078571	14
88.55	Fungi	103.512457142222	18
88.73	Viridiplantae	56.7841145125	4
89.17	Viridiplantae	63.41678095	2
89.36	Invertebrates	78.701429845	1
90.84	Vertebrates	97.2532441621714	14
93.25	Viridiplantae	51.002866885	2
93.74	Viridiplantae	32.36166964	1
93.91	Viridiplantae	51.109311846	5
94	Vertebrates	128.43017338125	4
94.02	Invertebrates	65.5867383125	4
94.04	Vertebrates	128.430173385	1
96.88	Invertebrates	64.32862336	1
97.05	Invertebrates	26.24316528	1
97.14	Invertebrates	52.46712971	2
98.19	Invertebrates	157.40427865125	4
98.78	Viridiplantae	64.749508155	6
99.19	Vertebrates	160.53766862	5
99.23	Vertebrates	160.53766862	1
100.36	Invertebrates	136.417094915	15
101.25	Invertebrates	116.1610155	1
101.67	Invertebrates	36.560003902	4
102.61	Viridiplantae	98.2794683591667	27
103.18	Fungi	101.24344374	2
103.76	Vertebrates	218.29329489	2
105.04	Viridiplantae	93.6962928769872	117
105.73	Fungi	134.827992060556	27
106.27	Viridiplantae	88.927252335	4
107.02	Viridiplantae	116.296105741167	3
108	Viridiplantae	76.5057906033333	3
108.01	Invertebrates	103.5295915	1
110.08	Viridiplantae	111.327473988705	22
110.44	Invertebrates	130.067238292	5
111.16	Viridiplantae	85.1719094336667	30
111.85	Fungi	70.85880403	2
112.06	Invertebrates	183.639630975625	8
112.23	Vertebrates	138.357628058333	6
113.01	Viridiplantae	80.023894747625	4
113.12	Viridiplantae	104.270080646042	36
113.52	Invertebrates	120.8189736	4
113.97	Viridiplantae	68.531186645	11
115.02	Invertebrates	142.4311243475	16
115.5	Vertebrates	118.0674859915	10
117.06	Viridiplantae	110.289632009833	45
118.06	Viridiplantae	105.633249903083	60
118.28	Fungi	107.925544552083	12
121.04	Fungi	110.948864629231	13
121.36	Viridiplantae	113.869282990528	90
122.14	Fungi	106.103783200714	14
123.46	Viridiplantae	119.440518893696	23
124.68	Fungi	130.1675009	1
125.12	Viridiplantae	122.084245924352	391
125.92	Fungi	151.488172975	1
126.07	Viridiplantae	116.952103779792	24
128	Viridiplantae	102.0093875875	4
130.54	Fungi	205.75314769	2
132.03	Invertebrates	194.35242541	2
134.54	Invertebrates	103.63446952	1
138.68	Fungi	105.584558737667	45
138.76	Viridiplantae	127.5285220137	125
142.11	Vertebrates	153.649492575	2
142.17	Viridiplantae	127.041703729738	120
145	Invertebrates	151.163121536667	3
145.49	Fungi	168.405271299167	18
146.03	Invertebrates	211.727300115	2
151.84	Invertebrates	57.18206903	1
156.37	Fungi	180.55811475	3
156.71	Fungi	235.564834854211	57
157.15	Fungi	206.5642311225	44
159.61	Viridiplantae	152.564869189506	1290
164.15	Fungi	139.93806718	1
165.45	Invertebrates	207.271194505	16
175.85	Fungi	243.5454398725	4
184.5	Fungi	116.61285564	2
190.78	Invertebrates	188.15234651625	4
195.56	Invertebrates	199.50069468	4
196.21	Invertebrates	236.131504513333	9
208.94	Vertebrates	221.766364823333	3
215.25	Invertebrates	137.2348621975	2
224.02	Vertebrates	289.8832303325	28
230.39	Viridiplantae	215.74652709375	2
233.38	Invertebrates	232.321516	2
238.83	Invertebrates	171.545528023333	6
249.98	Fungi	93.2913154333333	3
256.47	Invertebrates	175.580877872647	17
264.82	Invertebrates	259.1386871605	40
279.83	Vertebrates	276.953697481689	9
282.37	Invertebrates	247.024957901625	32
299.39	Invertebrates	277.133018811	50
308.09	Invertebrates	191.80356859	1
318.95	Vertebrates	321.075489725187	60
318.99	Vertebrates	321.07548972852	10
320.41	Fungi	279.871369335	4
321.22	Invertebrates	279.48614481075	12
330.31	Viridiplantae	340.270022885833	3
332.67	Invertebrates	311.941516190923	195
344	Invertebrates	347.016406969786	392
349.94	Vertebrates	358.000320380909	11
351.78	Fungi	356.924806101	25
353.08	Invertebrates	236.775351215	1
361.53	Invertebrates	394.464882897595	84
365.53	Invertebrates	341.06199195	1
376.38	Viridiplantae	308.5400375	1
383.15	Invertebrates	371.309724133159	88
400.98	Invertebrates	418.723548611065	92
429	Vertebrates	433.988764439075	192
429.04	Vertebrates	433.9887644475	12
440.33	Invertebrates	392.5647426	2
459.04	Invertebrates	464.645767311021	144
476.34	Invertebrates	486.006655608833	6
483.72	Viridiplantae	494.83839322732	446
523.45	Fungi	511.0334510305	10
531.94	Invertebrates	411.891132	1
535.61	Invertebrates	529.2760895842	15
563.31	Invertebrates	567.184012810373	51
581.78	Invertebrates	550.927357680125	8
609.53	Invertebrates	520.319903475667	9
642.03	Fungi	729.698760964602	264
691.52	Invertebrates	594.204909853273	520
707.6	Cross-group	629.550523667432	1736
707.64	Cross-group	629.550523669032	62
715.48	Cross-group	823.782269789502	180
715.52	Cross-group	823.78226977	2
758.11	Cross-group	1018.01356518973	92
758.15	Cross-group	1018.01356517	1
991.82	Viridiplantae	1096.47769249601	79
1274.57	Cross-group	1384.83906082169	3255
1274.61	Cross-group	1384.839060804	35
1398.3	Cross-group	1446.84666848106	80
1598.44	Cross-group	1406.0330821509	10368
