tt_node_age	broad	our_age	n_pairs
165.45	Invertebrates	217.476174024375	16
175.85	Fungi	226.60680693	4
184.5	Fungi	110.93013471	2
190.78	Invertebrates	220.16859564375	4
195.56	Invertebrates	238.48288971625	4
196.21	Invertebrates	237.869168181667	9
208.94	Vertebrates	211.608431105	3
215.25	Invertebrates	122.613122185	2
224.02	Vertebrates	284.774088490321	28
230.39	Viridiplantae	336.87898368525	2
233.38	Invertebrates	230.8530929	2
238.83	Invertebrates	153.0318025025	6
249.98	Fungi	88.7206229633333	3
256.47	Invertebrates	156.876431360294	17
264.82	Invertebrates	267.743006563	40
279.83	Vertebrates	284.030137016333	9
282.37	Invertebrates	221.010027426125	32
299.39	Invertebrates	330.7816783065	50
308.09	Invertebrates	270.211792605	1
318.95	Vertebrates	322.3700000222	60
318.99	Vertebrates	322.3700000247	10
320.41	Fungi	266.933392535	4
321.22	Invertebrates	280.135573423917	12
330.31	Viridiplantae	392.818003690167	3
332.67	Invertebrates	339.93160508891	195
344	Invertebrates	349.106467722411	392
349.94	Vertebrates	349.308326979182	11
351.78	Fungi	338.232768697	25
353.08	Invertebrates	224.065262385	1
361.53	Invertebrates	388.855960788393	84
365.53	Invertebrates	356.1353226	1
376.38	Viridiplantae	373.6716059	1
383.15	Invertebrates	360.990383022784	88
400.98	Invertebrates	417.785825865598	92
429	Vertebrates	428.331471217917	192
429.04	Vertebrates	428.331471215917	12
440.33	Invertebrates	383.6644438	2
459.04	Invertebrates	463.682074096615	144
476.34	Invertebrates	423.690195586667	6
483.72	Viridiplantae	466.887589230808	446
523.45	Fungi	480.5605582285	10
531.94	Invertebrates	399.79842785	1
535.61	Invertebrates	510.790514074	15
563.31	Invertebrates	562.551877111814	51
581.78	Invertebrates	554.77122878875	8
609.53	Invertebrates	523.929379412778	9
642.03	Fungi	694.397950534117	264
691.52	Invertebrates	642.087030033087	520
707.6	Cross-group	786.389017675965	1736
707.64	Cross-group	786.389017676573	62
715.48	Cross-group	800.926344123783	180
715.52	Cross-group	800.926344085	2
758.11	Cross-group	815.490212294353	92
758.15	Cross-group	815.490212255	1
991.82	Viridiplantae	845.308378416025	79
1274.57	Cross-group	1015.10918510819	3255
1274.61	Cross-group	1015.10918506877	35
1398.3	Cross-group	1670.99999996095	80
1598.44	Cross-group	1238.94655640558	10368
1598.48	Cross-group	1238.94655636088	81
