species_code	genus	species	order	broad_clade	centromere_type	cenpa_presence	cenpa_copies	copy_number_call
jaNemVect1.1	Nematostella	vectensis	Cnidaria	Cnidaria	Satellite	Present	0	no_confirmed_copy
jaRicFlor1.1	Ricordea	florida	Cnidaria	Cnidaria	Satellite	Present	0	absent_from_curated_tree
icAgoFuli1.1	Agonum	fuliginosum	Coleoptera	Coleoptera	Satellite	Present	1	single_copy
icAgrCyan1.1	Agrilus	cyanescens	Coleoptera	Coleoptera	Satellite	Present	1	single_copy
icCarProb1.1	Carabus	problematicus	Coleoptera	Coleoptera	Satellite	Present	1	single_copy
icCetAura1.1	Cetonia	aurata	Coleoptera	Coleoptera	Satellite	Present	0	no_confirmed_copy
icNicInve2.1	Nicrophorus	investigator	Coleoptera	Coleoptera	Satellite	Present	2	low_copy
icQueLate1.hap1.1	Quedius	lateralis	Coleoptera	Coleoptera	Satellite		1	single_copy
icScaQuad2.1	Scaphidium	quadrimaculatum	Coleoptera	Coleoptera	Satellite	Absent	0	absent_from_curated_tree
igLabMino1.1	Labia	minor	Dermaptera	Dermaptera	Holocentric	Absent	0	absent_from_curated_tree
idAcrOrbc1.1	Acrocera	orbiculus	Diptera	Diptera	Satellite	Present	0	no_confirmed_copy
idAntAnth1.1	Anthrax	anthrax	Diptera	Diptera	Satellite	Present	1	single_copy
idAthIbis2.2	Atherix	ibis	Diptera	Diptera	Satellite	Present	0	no_confirmed_copy
idHydCyrt1.1	Hydrotaea	cyrtoneurina	Diptera	Diptera	Satellite	Present	1	single_copy
idMelRora1.1	Melanophora	roralis	Diptera	Diptera	Transposon	Present	0	no_confirmed_copy
idPamGerm1.hap1.1	Pamponerus	germanicus	Diptera	Diptera	Transposon		0	no_confirmed_copy
eaMarGlac1.2	Marthasterias	glacialis	Echinodermata	Echinodermata	Satellite	Present	1	single_copy
ieCloDipt1.1	Cloeon	dipterum	Ephemeroptera	Ephemeroptera	Satellite	Present	1	single_copy
ieEcdTorr1.1	Ecdyonurus	torrentis	Ephemeroptera	Ephemeroptera	Satellite	Absent	0	absent_from_curated_tree
ieProBifi2.1	Procloeon	bifidum	Ephemeroptera	Ephemeroptera	Satellite	Absent	1	single_copy
ieSipAlte2.1	Siphlonurus	alternatus	Ephemeroptera	Ephemeroptera	Satellite	Present	2	low_copy
gfAgaBisp1.1	Agaricus	bisporus	Fungi	Fungi	Transposon	Present	1	single_copy
gfAgrPrae1.1	Agrocybe	praecox	Fungi	Fungi	Transposon	Present	1	single_copy
gfAmaRube1.hap1.1	Amanita	rubescens	Fungi	Fungi	Transposon		1	single_copy
gpAraPeru1.1	Arachnomyces	peruvianus	Fungi	Fungi	Transposon	Present	1	single_copy
gfArmOsto1.1	Armillaria	ostoyae	Fungi	Fungi	Transposon	Present	0	absent_from_curated_tree
gfAurGent2.1	Aureoboletus	gentilis	Fungi	Fungi	Transposon	Present	1	single_copy
gfButSuba1.1	Butyriboletus	subappendiculatus	Fungi	Fungi	Transposon	Present	1	single_copy
gfChlBrun1.1	Chlorophyllum	brunneum	Fungi	Fungi	Transposon	Present	1	single_copy
glClaSqua9.2	Cladonia	squamosa	Fungi	Fungi	Unknown	Present	1	single_copy
gfClaFumo1.1	Clavaria	fumosa	Fungi	Fungi	Transposon	Present	1	single_copy
gfLepSord1.hap1.1	Collybia	sordida	Fungi	Fungi	Transposon		1	single_copy
gfCopMica1.1	Coprinellus	micaceus	Fungi	Fungi	Transposon	Present	1	single_copy
grCorFumo1.1	Cordyceps	fumosorosea	Fungi	Fungi	Monocentric sequence unknown	Present	0	absent_from_curated_tree
gfEntClyp1.2	Entoloma	clypeatum	Fungi	Fungi	Unknown	Present	1	single_copy
gzEntParv1.1	Entomortierella	parvispora	Fungi	Fungi	Unknown	Present	1	single_copy
glEphLana1.1	Ephebe	lanata	Fungi	Fungi	Unknown	Present	1	single_copy
gfFlaVelt1.2	Flammulina	velutipes	Fungi	Fungi	Transposon	Present	1	single_copy
glFlaMari1.1	Flavoplaca	marina	Fungi	Fungi	Transposon	Present	1	single_copy
gfBolQuer1.1	Fomitopsis	pulvina	Fungi	Fungi	Transposon	Present	1	single_copy
gfGanResi1.1	Ganoderma	resinaceum	Fungi	Fungi	Transposon	Present	1	single_copy
gfGliIrri2.hap1.1	Gliophorus	irrigatus	Fungi	Fungi	Transposon		1	single_copy
gfHerErin3.1	Hericium	erinaceus	Fungi	Fungi	Transposon	Present	1	single_copy
gfHygPuni3.1	Hygrocybe	punicea	Fungi	Fungi	Unknown	Present	1	single_copy
gfInoObsi1.1	Inocybe	obscuroides	Fungi	Fungi	Unknown	Present	1	single_copy
gfLacBlen1.hap1.1	Lactarius	blennius	Fungi	Fungi	Transposon		1	single_copy
gfLaeSulp1.1	Laetiporus	sulphureus	Fungi	Fungi	Transposon	Present	1	single_copy
gyLeoLubr2.1	Leotia	lubrica	Fungi	Fungi	Transposon	Absent	1	single_copy
grLepFlav1.1	Leptographium	flavum	Fungi	Fungi	Transposon	Present	1	single_copy
glLicPygm2.1	Lichina	pygmaea	Fungi	Fungi	Unknown	Absent	0	absent_from_curated_tree
gsMetZobe1.1	Metschnikowia	zobellii	Fungi	Fungi	Monocentric sequence unknown	Present	1	single_copy
gzMucPiri1.1	Mucor	piriformis	Fungi	Fungi	Unknown	Absent	0	absent_from_curated_tree
gfMycGale1.hap1.1	Mycena	galericulata	Fungi	Fungi	Monocentric sequence unknown		0	absent_from_curated_tree
gfPanStip1.1	Panellus	stipticus	Fungi	Fungi	Transposon	Present	1	single_copy
gfPhaAlbo1.hap1.1	Phaeoclavulina	alboapiculata	Fungi	Fungi	Transposon		1	single_copy
gfCorTriu1.hap1.1	Phlegmacium	triumphans	Fungi	Fungi	Unknown		1	single_copy
glPlaGlau9.1	Platismatia	glauca	Fungi	Fungi	Transposon	Present	1	single_copy
gfPleOstr1.1	Pleurotus	ostreatus	Fungi	Fungi	Transposon	Present	1	single_copy
gfPorCaly1.1	Porpolomopsis	calyptriformis	Fungi	Fungi	Transposon	Present	1	single_copy
glRamSili2.1	Ramalina	siliquosa	Fungi	Fungi	Transposon	Present	1	single_copy
gfRamCorn1.1	Ramariopsis	corniculata	Fungi	Fungi	Transposon	Present	1	single_copy
gdRhiKalk1.hap1.1	Rhizosphaera	kalkhoffii	Fungi	Fungi	Unknown		1	single_copy
gfRusVesc1.hap1.1	Russula	vesca	Fungi	Fungi	Transposon		1	single_copy
grSimLame1.1	Simplicillium	lamellicola	Fungi	Fungi	Monocentric sequence unknown	Present	1	single_copy
gfSpaMino1.hap1.1	Sparassis	minoensis	Fungi	Fungi	Transposon		1	single_copy
gfTauPull1.1	Tausonia	pullulans	Fungi	Fungi	Transposon	Present	1	single_copy
grTriPseu1.1	Trichoderma	pseudokoningii	Fungi	Fungi	Transposon	Present	1	single_copy
gfTriHemi4.1	Tricholoma	hemisulphureum	Fungi	Fungi	Unknown	Present	1	single_copy
glUmbDeus1.1	Umbilicaria	deusta	Fungi	Fungi	Transposon	Present	1	single_copy
gfVolSurr1.1	Volvariella	surrecta	Fungi	Fungi	Transposon	Present	1	single_copy
paTetJugo1.1	Tetramitus	jugosus	Discoba	Heterobolosea	Unknown	Present	1	single_copy
iyAbiCand1.1	Abia	candens	Hymenoptera	Hymenoptera	Satellite	Present	1	single_copy
iyApaInim1.hap1.1	Apaeleticus	inimicus	Hymenoptera	Hymenoptera	Satellite		0	absent_from_curated_tree
iyCoeConi1.1	Coelioxys	conoideus	Hymenoptera	Hymenoptera	Satellite	Present	1	single_copy
iyLasVill1.1	Lasioglossum	villosulum	Hymenoptera	Hymenoptera	Satellite	Present	1	single_copy
iyMacAlbo1.1	Macrophya	alboannulata	Hymenoptera	Hymenoptera	Satellite	Present	1	single_copy
iyPemLugu1.1	Pemphredon	lugubris	Hymenoptera	Hymenoptera	Satellite	Present	1	single_copy
iyPriPert1.1	Priocnemis	perturbator	Hymenoptera	Hymenoptera	Satellite	Present	1	single_copy
iyVulBima1.1	Vulgichneumon	bimaculatus	Hymenoptera	Hymenoptera	Satellite	Present	1	single_copy
xgBioGlab47.1	Biomphalaria	glabrata	Mollusca	Mollusca	Transposon	Present	1	single_copy
xbGarTell2.1	Gari	tellinella	Mollusca	Mollusca	Satellite	Present	1	single_copy
xgGibMagu1.1	Gibbula	magus	Mollusca	Mollusca	Satellite	Absent	0	absent_from_curated_tree
xbLimFort5.1	Limnoperna	fortunei	Mollusca	Mollusca	Satellite	Present	1	single_copy
xgPatPell1.1	Patella	pellucida	Mollusca	Mollusca	Transposon	Present	2	low_copy
xgPatVulg1.1	Patella	vulgata	Mollusca	Mollusca	Transposon	Absent	0	absent_from_curated_tree
xgPhoLine1.1	Phorcus	lineatus	Mollusca	Mollusca	Transposon	Present	1	single_copy
xgSteCine2.1	Steromphala	cineraria	Mollusca	Mollusca	Transposon	Absent	0	absent_from_curated_tree
xbTriCroc3.1	Tridacna	crocea	Mollusca	Mollusca	Unknown	Absent	0	absent_from_curated_tree
xbTriGiga4.1	Tridacna	gigas	Mollusca	Mollusca	Unknown	Absent	0	absent_from_curated_tree
nxTriColu2.1	Trichostrongylus	colubriformis	Nematoda	Nematoda	Unknown	Present	0	no_confirmed_copy
tnLinLong1.2	Lineus	longissimus	Nemertea	Nemertea	Satellite/transposon	Present	1	single_copy
ocSycCili1.1	Sycon	ciliatum	Porifera	Porifera	Satellite	Absent	0	absent_from_curated_tree
iuLoeVari1.hap1.1	Loensia	variegata	Psocodea	Psocodea	Holocentric		0	absent_from_curated_tree
iuMesFusc1.1	Mesopsocus	fuscifrons	Psocodea	Psocodea	Holocentric	Absent	0	absent_from_curated_tree
iuPsoGibb1.1	Psococerastis	gibbosa	Psocodea	Psocodea	Holocentric	Absent	0	absent_from_curated_tree
iiLimAuri1.1	Limnephilus	auricula	Trichoptera	Trichoptera	Holocentric	Absent	0	absent_from_curated_tree
ucDunPrim2.1	Dunaliella	primolecta	Algae	Viridiplantae	Unknown	Absent	1	single_copy
ucMarCocc1.1	Marvania	coccoides	Algae	Viridiplantae	Unknown	Present	1	single_copy
ucPseBory1.1	Pseudopediastrum	boryanum	Algae	Viridiplantae	Unknown	Present	0	absent_from_curated_tree
ucPycProv1.1	Pycnococcus	provasolii	Algae	Viridiplantae	Unknown	Absent	8	expanded
caAndHook4.1	Andreaea	hookeri	Bryophyta	Viridiplantae	Transposon	Present	1	single_copy
cbCalCord2.1	Calliergon	cordifolium	Bryophyta	Viridiplantae	Transposon	Present	4	expanded
cjHerHutc3.1	Herbertus	hutchinsiae	Bryophyta	Viridiplantae	Transposon	Present	1	single_copy
cbHylTriq8.1	Hylocomiadelphus	triquetrus	Bryophyta	Viridiplantae	Transposon	Present	2	low_copy
cbIsoPulc3.1	Isopterygiella	pulchella	Bryophyta	Viridiplantae	Transposon	Present	4	expanded
cmLunCruc20.1	Lunularia	cruciata	Bryophyta	Viridiplantae	Unknown	Present	1	single_copy
cbPolSexa1.1	Polytrichastrum	sexangulare	Bryophyta	Viridiplantae	Transposon	Present	2	low_copy
cbRhyConf1.1	Rhynchostegium	confertum	Bryophyta	Viridiplantae	Unknown	Present	2	low_copy
cbRhyLore1.1	Rhytidiadelphus	loreus	Bryophyta	Viridiplantae	Transposon	Present	2	low_copy
csSphGirg1.1	Sphagnum	girgensohnii	Bryophyta	Viridiplantae	Transposon	Present	1	single_copy
cbThuTama2.1	Thuidium	tamariscinum	Bryophyta	Viridiplantae	Transposon	Present	2	low_copy
drAilAlti1.1	Ailanthus	altissima	Dicots	Viridiplantae	Transposon	Present	2	low_copy
dhAlnGlut1.1	Alnus	glutinosa	Dicots	Viridiplantae	Transposon	Present	1	single_copy
dmAquVulg1.hap1.1	Aquilegia	vulgaris	Dicots	Viridiplantae	Satellite		2	low_copy
ddAraThal4.1	Arabidopsis	thaliana	Dicots	Viridiplantae	Satellite	Present	1	single_copy
daArcMinu1.1	Arctium	minus	Dicots	Viridiplantae	Satellite/transposon	Present	1	single_copy
dcAreSerp1.hap1.1	Arenaria	serpyllifolia	Dicots	Viridiplantae	Satellite		2	low_copy
drAstGlyc1.1	Astragalus	glycyphyllos	Dicots	Viridiplantae	Satellite	Present	2	low_copy
daBalNigr1.1	Ballota	nigra	Dicots	Viridiplantae	Satellite	Present	2	low_copy
ddBarVulg1.1	Barbarea	vulgaris	Dicots	Viridiplantae	Satellite	Present	1	single_copy
dmBerVulg1.1	Berberis	vulgaris	Dicots	Viridiplantae	Satellite	Present	1	single_copy
ddCarHirs1.hap1.1	Cardamine	hirsuta	Dicots	Viridiplantae	Transposon		1	single_copy
drChaAngu1.1	Chamaenerion	angustifolium	Dicots	Viridiplantae	Satellite	Present	2	low_copy
dhCorColu1.hap1.1	Corylus	colurna	Dicots	Viridiplantae	Satellite		0	no_confirmed_copy
ddEupPepu3.1	Euphorbia	peplus	Dicots	Viridiplantae	Satellite	Present	1	single_copy
drFilUlma1.1	Filipendula	ulmaria	Dicots	Viridiplantae	Transposon	Present	3	low_copy
drGeuRiva1.hap1.1	Geum	rivale	Dicots	Viridiplantae	Satellite		1	single_copy
drGeuUrba1.1	Geum	urbanum	Dicots	Viridiplantae	Transposon	Present	1	single_copy
drHedHeli1.1	Hedera	helix	Dicots	Viridiplantae	Satellite	Present	3	low_copy
ddHotPalu2.hap1.1	Hottonia	palustris	Dicots	Viridiplantae	Satellite		1	single_copy
daLinVulg1.1	Linaria	vulgaris	Dicots	Viridiplantae	Satellite	Present	1	single_copy
drMalDome5.1	Malus	domestica	Dicots	Viridiplantae	Transposon	Present	3	low_copy
drMalSylv7.1	Malus	sylvestris	Dicots	Viridiplantae	Transposon	Present	3	low_copy
drMedArab1.1	Medicago	arabica	Dicots	Viridiplantae	Satellite	Present	1	single_copy
ddMerAnnu1.1	Mercurialis	annua	Dicots	Viridiplantae	Satellite	Present	1	single_copy
daMisOron1.1	Misopates	orontium	Dicots	Viridiplantae	Satellite	Present	1	single_copy
dcMoeTrin1.hap1.1	Moehringia	trinervia	Dicots	Viridiplantae	Satellite		1	single_copy
drParJuda1.1	Parietaria	judaica	Dicots	Viridiplantae	Satellite	Present	2	low_copy
dcPolTetr1.hap1.1	Polycarpon	tetraphyllum	Dicots	Viridiplantae	Satellite		4	expanded
dcPolAvic1.1	Polygonum	aviculare	Dicots	Viridiplantae	Satellite	Present	3	low_copy
ddPopNigr1.1	Populus	nigra	Dicots	Viridiplantae	Satellite	Present	1	single_copy
drPotAnse1.1	Potentilla	anserina	Dicots	Viridiplantae	Satellite	Present	1	single_copy
daPulDyse1.1	Pulicaria	dysenterica	Dicots	Viridiplantae	Satellite	Present	0	no_confirmed_copy
dhQueRobu3.1	Quercus	robur	Dicots	Viridiplantae	Satellite	Present	0	no_confirmed_copy
daSamNigr1.1	Sambucus	nigra	Dicots	Viridiplantae	Transposon	Present	1	single_copy
daScuGale1.1	Scutellaria	galericulata	Dicots	Viridiplantae	Satellite	Present	1	single_copy
daSheArve1.1	Sherardia	arvensis	Dicots	Viridiplantae	Satellite	Present	1	single_copy
daSolDulc1.1	Solanum	dulcamara	Dicots	Viridiplantae	Transposon	Present	1	single_copy
dcSpeMari1.1	Spergularia	marina	Dicots	Viridiplantae	Satellite	Present	2	low_copy
