Species	Species.1	symbol	size	colour	border	width	architecture
fToxJac2.1	fToxJac2.1	circle	2	#8338ec	yes	1	Satellite/transposon
fTauBub2.1	fTauBub2.1	circle	2	#ff006e	yes	1	Satellite
fPhoGun1.2	fPhoGun1.2	circle	2	#ff006e	yes	1	Satellite
fThuAlb1.1	fThuAlb1.1	circle	2	#ff006e	yes	1	Satellite
fThuMac1.1	fThuMac1.1	circle	2	#ff006e	yes	1	Satellite
bCorHaw1.1	bCorHaw1.1	circle	2	#ff006e	yes	1	Satellite
bTaeGut1.4	bTaeGut1.4	circle	2	#ff006e	yes	1	Satellite
bPorHoc1.1	bPorHoc1.1	circle	2	#ff006e	yes	1	Satellite
bAccGen1.1	bAccGen1.1	circle	2	#ff006e	yes	1	Satellite
bFalPer1.1	bFalPer1.1	circle	2	#ff006e	yes	1	Satellite
bFalBia1.1	bFalBia1.1	circle	2	#ff006e	yes	1	Satellite
bFalChe1.1	bFalChe1.1	circle	2	#ff006e	yes	1	Satellite
bGalGal1.GRCg7b	bGalGal1.GRCg7b	circle	2	#ff006e	yes	1	Satellite
bLagMut1.1	bLagMut1.1	circle	2	#ff006e	yes	1	Satellite
rVipLat1.1	rVipLat1.1	circle	2	#ff006e	yes	1	Satellite
mEleMax1.1	mEleMax1.1	circle	2	#ff006e	yes	1	Satellite
mLemCat1.1	mLemCat1.1	circle	2	#ff006e	yes	1	Satellite
mDicBic1.1	mDicBic1.1	circle	2	#ff006e	yes	1	Satellite
mCanLor1.2	mCanLor1.2	circle	2	#ff006e	yes	1	Satellite
mMelMel3.2	mMelMel3.2	circle	2	#ff006e	yes	1	Satellite
mOrcOrc1.1	mOrcOrc1.1	circle	2	#ff006e	yes	1	Satellite
mCerEla1.1	mCerEla1.1	circle	2	#ff006e	yes	1	Satellite
mRhiSin1.1	mRhiSin1.1	circle	2	#ff006e	yes	1	Satellite
