tt_node_age	broad	our_age	n_pairs
66.05	Vertebrates	46.5192533936667	6
66.94	Invertebrates	53.82245305	1
69.07	Viridiplantae	68.4791373822	10
69.21	Fungi	112.72102866	2
70.42	Vertebrates	40.3506895317	5
71.25	Vertebrates	237.509114165	1
72.58	Fungi	24.89264454	1
74.25	Vertebrates	38.04272432	1
74.29	Vertebrates	38.04272432	1
75.1	Vertebrates	38.1405183864167	6
75.5	Invertebrates	16.96637264	1
76	Vertebrates	45.698107546	4
76.04	Vertebrates	45.698107546	2
79.03	Viridiplantae	311.0071099525	1
80.11	Fungi	99.271996915	2
80.47	Viridiplantae	90.8696354	1
81.45	Invertebrates	66.05843976	1
83.6	Fungi	105.718271340556	9
84.76	Fungi	122.5772386095	2
85.37	Viridiplantae	283.461378291111	36
85.55	Fungi	42.530920875	2
86.34	Invertebrates	85.58379392	1
87.04	Viridiplantae	76.64290528	2
87.07	Viridiplantae	72.629438865	2
87.63	Viridiplantae	99.4608243615714	14
88.55	Fungi	112.427845027333	18
88.73	Viridiplantae	118.39841418	4
89.17	Viridiplantae	143.468474815	2
89.36	Invertebrates	56.435465685	1
90.84	Vertebrates	220.903261137	14
93.25	Viridiplantae	141.784223	2
93.74	Viridiplantae	73.80976247	1
93.91	Viridiplantae	112.713818888	5
94	Vertebrates	56.060781408	4
94.02	Invertebrates	50.6396168225	4
94.04	Vertebrates	56.060781406	1
96.88	Invertebrates	45.54478999	1
97.05	Invertebrates	35.46108011	1
97.14	Invertebrates	46.60267629	2
98.19	Invertebrates	85.77411754825	4
98.78	Viridiplantae	115.01411975	6
99.19	Vertebrates	67.4054882534	5
99.23	Vertebrates	67.405488251	1
100.36	Invertebrates	77.8322761045	15
101.25	Invertebrates	74.95632233	1
101.67	Invertebrates	109.73107932	4
102.61	Viridiplantae	119.335599806222	27
103.18	Fungi	105.48968164	2
103.76	Vertebrates	250.7718402875	2
105.04	Viridiplantae	333.372487428803	117
105.73	Fungi	135.423514971222	27
106.27	Viridiplantae	150.2211580825	4
107.02	Viridiplantae	381.9593195	3
108	Viridiplantae	271.0088732	3
108.01	Invertebrates	19.41907211	1
110.08	Viridiplantae	377.383402519091	22
110.44	Invertebrates	35.1253952706	5
111.16	Viridiplantae	155.83746942	30
111.85	Fungi	147.748903795	2
112.06	Invertebrates	98.6397803181875	8
112.23	Vertebrates	181.026057951667	6
113.01	Viridiplantae	221.2559800875	4
113.12	Viridiplantae	133.231663142167	36
113.52	Invertebrates	27.6248433435	4
113.97	Viridiplantae	127.088284964545	11
115.02	Invertebrates	36.07021628525	16
115.5	Vertebrates	137.887353345	10
117.06	Viridiplantae	149.6584788434	45
118.06	Viridiplantae	206.648095856	60
118.28	Fungi	107.52058759025	12
121.04	Fungi	111.662135297923	13
121.36	Viridiplantae	334.358339480056	90
122.14	Fungi	107.621973715214	14
123.46	Viridiplantae	421.961847883261	23
124.68	Fungi	37.03359172	1
125.12	Viridiplantae	420.705389046591	391
125.92	Fungi	136.33711518	1
126.07	Viridiplantae	411.334028096458	24
128	Viridiplantae	326.9645874	4
130.54	Fungi	88.797221275	2
132.03	Invertebrates	111.240450495	2
134.54	Invertebrates	55.18931729	1
138.68	Fungi	105.245644971533	45
138.76	Viridiplantae	464.6188075996	125
142.11	Vertebrates	64.85623586	2
142.17	Viridiplantae	465.251440947775	120
145	Invertebrates	81.551867645	3
145.49	Fungi	158.906593601556	18
146.03	Invertebrates	140.008226336	2
151.84	Invertebrates	59.00428962	1
156.37	Fungi	70.3019297983333	3
156.71	Fungi	208.90477287314	57
157.15	Fungi	188.250719780591	44
159.61	Viridiplantae	510.302584085504	1290
164.15	Fungi	90.23672657	1
165.45	Invertebrates	76.2830793005	16
175.85	Fungi	115.89876909875	4
184.5	Fungi	72.479590315	2
190.78	Invertebrates	128.2225263865	4
195.56	Invertebrates	139.5860752815	4
196.21	Invertebrates	152.227356608389	9
208.94	Vertebrates	95.55443743	3
215.25	Invertebrates	95.66621063	2
224.02	Vertebrates	287.742915214286	28
230.39	Viridiplantae	377.47476161625	2
233.38	Invertebrates	176.62776574	2
238.83	Invertebrates	119.567448245	6
249.98	Fungi	59.7445312033333	3
256.47	Invertebrates	120.714108060294	17
264.82	Invertebrates	159.51604410665	40
279.83	Vertebrates	265.187130806556	9
282.37	Invertebrates	167.389171090625	32
299.39	Invertebrates	209.50337757175	50
308.09	Invertebrates	135.810463725	1
318.95	Vertebrates	302.617263553733	60
