tt_node_age	broad	our_age	n_pairs
69.07	Viridiplantae	70.7320826393	10
69.21	Fungi	140.7893447965	2
70.42	Vertebrates	41.16962722832	5
71.25	Vertebrates	145.316530915	1
72.58	Fungi	24.64776228	1
74.25	Vertebrates	64.3952977	1
74.29	Vertebrates	64.3952977	1
75.1	Vertebrates	36.7999378436	6
75.5	Invertebrates	21.88598572	1
76	Vertebrates	96.592946545	4
76.04	Vertebrates	96.592946545	2
79.03	Viridiplantae	83.2591711805	1
80.11	Fungi	126.723246245	2
80.47	Viridiplantae	25.82779838	1
81.45	Invertebrates	84.38619407	1
83.6	Fungi	132.974845600444	9
84.76	Fungi	154.85544338	2
85.37	Viridiplantae	83.7562725291667	36
85.55	Fungi	49.295524555	2
86.34	Invertebrates	78.51547438	1
87.04	Viridiplantae	58.070441375	2
87.07	Viridiplantae	35.13472052	2
87.63	Viridiplantae	77.956412301	14
88.55	Fungi	130.702785014667	18
88.73	Viridiplantae	55.76804101	4
89.17	Viridiplantae	64.864183805	2
89.36	Invertebrates	65.65795716	1
90.84	Vertebrates	101.667233833086	14
93.25	Viridiplantae	51.655596765	2
93.74	Viridiplantae	31.284163745	1
93.91	Viridiplantae	50.19123691	5
94	Vertebrates	128.7905953975	4
94.02	Invertebrates	54.7149643	4
94.04	Vertebrates	128.7905954	1
96.88	Invertebrates	55.2974153	1
97.05	Invertebrates	21.88598572	1
97.14	Invertebrates	43.77197144	2
98.19	Invertebrates	131.31591433	4
98.78	Viridiplantae	62.5683274941667	6
99.19	Vertebrates	160.988244223	5
99.23	Vertebrates	160.988244225	1
100.36	Invertebrates	113.807125746	15
101.25	Invertebrates	111.2376544	1
101.67	Invertebrates	104.6872991725	4
102.61	Viridiplantae	87.1056620596111	27
103.18	Fungi	117.57914796	2
103.76	Vertebrates	216.4926461025	2
105.04	Viridiplantae	99.1778372685641	117
105.73	Fungi	168.921541932556	27
106.27	Viridiplantae	85.7689300425	4
107.02	Viridiplantae	114.553411313833	3
108	Viridiplantae	77.4833951466667	3
108.01	Invertebrates	108.9954679	1
110.08	Viridiplantae	114.599402004273	22
110.44	Invertebrates	142.182585824	5
111.16	Viridiplantae	83.6520615203333	30
111.85	Fungi	85.59141198	2
112.06	Invertebrates	153.20190007125	8
112.23	Vertebrates	137.078706946667	6
113.01	Viridiplantae	82.499446995125	4
113.12	Viridiplantae	96.2549118052083	36
113.52	Invertebrates	129.44683088	4
113.97	Viridiplantae	66.9585088363636	11
115.02	Invertebrates	155.011034625	16
115.5	Vertebrates	116.846084848	10
117.06	Viridiplantae	105.404161558667	45
118.06	Viridiplantae	104.735795552	60
118.28	Fungi	136.100645286083	12
121.04	Fungi	139.704045963692	13
121.36	Viridiplantae	111.552404010622	90
122.14	Fungi	133.751711262	14
123.46	Viridiplantae	121.869196961087	23
124.68	Fungi	117.694001	1
125.12	Viridiplantae	123.702661061066	391
125.92	Fungi	147.79030429	1
126.07	Viridiplantae	119.330255357708	24
128	Viridiplantae	103.3111935125	4
130.54	Fungi	186.53488178	2
132.03	Invertebrates	219.793301115	2
134.54	Invertebrates	115.85182291	1
138.68	Fungi	133.287425571533	45
138.76	Viridiplantae	129.138991908	125
